iso_code,date,indicator,value
USA,2020-09-05,Daily hospital occupancy,28844.0
USA,2020-09-05,Daily hospital occupancy per million,86.641
USA,2020-09-05,Weekly new hospital admissions,27699.0
USA,2020-09-05,Weekly new hospital admissions per million,83.201
USA,2020-09-06,Daily ICU occupancy,9010.0
USA,2020-09-06,Daily ICU occupancy per million,27.064
USA,2020-09-06,Daily hospital occupancy,28368.0
USA,2020-09-06,Daily hospital occupancy per million,85.211
USA,2020-09-06,Weekly new hospital admissions,27096.0
USA,2020-09-06,Weekly new hospital admissions per million,81.39
USA,2020-09-07,Daily ICU occupancy,8974.0
USA,2020-09-07,Daily ICU occupancy per million,26.956
USA,2020-09-07,Daily hospital occupancy,28588.0
USA,2020-09-07,Daily hospital occupancy per million,85.872
USA,2020-09-07,Weekly new hospital admissions,26610.0
USA,2020-09-07,Weekly new hospital admissions per million,79.93
USA,2020-09-08,Daily ICU occupancy,8974.0
USA,2020-09-08,Daily ICU occupancy per million,26.956
USA,2020-09-08,Daily hospital occupancy,28961.0
USA,2020-09-08,Daily hospital occupancy per million,86.992
USA,2020-09-08,Weekly new hospital admissions,26154.0
USA,2020-09-08,Weekly new hospital admissions per million,78.561
USA,2020-09-09,Daily ICU occupancy,8787.0
USA,2020-09-09,Daily ICU occupancy per million,26.394
USA,2020-09-09,Daily hospital occupancy,28781.0
USA,2020-09-09,Daily hospital occupancy per million,86.451
USA,2020-09-09,Weekly new hospital admissions,26620.0
USA,2020-09-09,Weekly new hospital admissions per million,79.96
USA,2020-09-10,Daily ICU occupancy,8592.0
USA,2020-09-10,Daily ICU occupancy per million,25.808
USA,2020-09-10,Daily hospital occupancy,28070.0
USA,2020-09-10,Daily hospital occupancy per million,84.316
USA,2020-09-10,Weekly new hospital admissions,27278.0
USA,2020-09-10,Weekly new hospital admissions per million,81.937
USA,2020-09-11,Daily ICU occupancy,8532.0
USA,2020-09-11,Daily ICU occupancy per million,25.628
USA,2020-09-11,Daily hospital occupancy,27370.0
USA,2020-09-11,Daily hospital occupancy per million,82.213
USA,2020-09-11,Weekly new hospital admissions,27679.0
USA,2020-09-11,Weekly new hospital admissions per million,83.141
